firm_id,date,text
Exxon,2017-1,"The largest U.S. electronics retailer, Best Buy , headquartered down the road from Minneapolis-based Target, has circulated a flyer to lawmakers. It cites an analyst forecast that a 20 percent tax would wipe out the company's projected annual net income of $1 billion and turn it into a $2 billion loss."
Exxon,2017-1,"The flyer, a copy of which was seen by Reuters, argues that foreign Internet sellers like China's Alibaba.com would be able to avoid the tax by making sales online and shipping to U.S. consumers directly, ""undercutting U.S. businesses."""
Exxon,2017-1,"Company officials have been handing out the flyer to lawmakers and their staff on Capitol Hill, Best Buy spokesman Jeff Shelman confirmed."
Exxon,2017-1,"Constellation Brands , which brews Corona and Modelo in Mexico, has been pushing lawmakers to exempt products like Mexican beer in any border tax ""because it's inherently a Mexican product,"" CEO Rob Sands said on an earnings call."
Exxon,2017-1,"But if that effort fails, Constellation is prepared to buy more raw materials from the United States instead of Mexico, Sands said."
Exxon,2017-1,"Koch Industries [KCHIN.UL], the second-largest private U.S. company according to Forbes, said in a statement a border tax would have a ""devastating"" impact on consumers. The company, owned by Republican donors Charles and David Koch, includes oil refining and manufacturing interests."
Exxon,2017-1,"Tim Phillips, the president of Americans for Prosperity, a conservative political group founded by the billionaire brothers, told Reuters the powerful group has started to educate its network of activists about the tax, so they can lobby against it. AFP says it has two million activists."
Exxon,2017-1,Not everyone in corporate America is worried about a new border tax.
Exxon,2017-1,"Several aerospace companies including Boeing Co , United Technologies Corp and Raytheon Co said in earnings calls last week that a border tax could be positive for net exporters like them."
Exxon,2017-1,"""We see the aerospace sector as fundamentally having an advantage in that regard,"" Boeing CEO Dennis Muilenburg said."
Exxon,2017-1,"The American International Automobile Dealers Association (AIADA), however, called the proposal ""heart stopping,"" in a letter last week to 9,500 dealers selling vehicles like Toyota, Volkswagen , and BMW ."
Exxon,2017-1,Opponents of the border tax may have already found some allies.
Exxon,2017-1,"Republican Representative Trey Gowdy of South Carolina, where BMW has a large plant, said the importance of foreign automakers such as BMW and Toyota to the economy needs to be considered when making laws."
Exxon,2017-1,"""I cannot overstate how significant that industry is to my state,"" Gowdy said in an interview, adding that he and his wife both drive Toyotas."
Exxon,2017-1,{{20170131T000102.773+0000}}UPDATE 2-Republicans take first steps to kill Obama-era regulations(Recasts with approval by House Rules committee)
Exxon,2017-1,"WASHINGTON, Jan 30 (Reuters) - Republicans on Monday continued their drive to loosen U.S. regulation, taking the first step to kill five Obama-era rules on corruption, the environment, labor and guns under the virtually untested Congressional Review Act."
Exxon,2017-1,"The House Rules Committee sent to the full chamber three regulations enacted under former President Barack Obama, a Democrat, to ax."
Exxon,2017-1,"They were the Stream Protection Rule, the Securities and Exchange Commission's ""resource extraction rule,"" and one on gun buying."
Exxon,2017-1,"Republicans put as much urgency on limiting what they consider over-regulation that stifles economic growth as they do on overhauling the tax code and dismantling the Affordable Care Act, according to House Majority Leader Kevin McCarthy."
Exxon,2017-1,This is the first time the Republican-led House of Representatives has targeted specific rules since convening on Jan. 3. Earlier this month it passed bills to limit regulatory agencies and Republican President Donald Trump is cutting regulation through executive orders. [nL1N1FK0UQ]
Exxon,2017-1,"Under the law, Congress can use simple majority votes to stop recent regulations in their tracks. Agencies cannot create a new rule to replace any part of an overturned regulation. Timing in the law means any rules enacted in the final months of Obama's administration are eligible for axing."
Exxon,2017-1,"The law has been used effectively only once, in 2001. Both sides consider this week a test of its powers."
Exxon,2017-1,"On Tuesday the Rules Committee will send two more regulations to the full chamber, which is expected to vote to kill all five on Wednesday and then hand them off to the Senate. [nL1N1FF0QX]"
Exxon,2017-1,"Senate Republicans on Monday prepared to act quickly after the House vote, with Majority Leader Mitch McConnell and Environment Committee Chairman James Inhofe introducing companion measures on the stream and extraction rules."
Exxon,2017-1,"The Interior Department took years to craft the stream rule, hoping to prevent coal-mining waste from contaminating water sources in areas near mountain-top removal mining sites. Critics say it is unnecessary and goes too far, wiping out jobs and usurping state rights."
Exxon,2017-1,"The extraction rule is required in the 2010 Dodd-Frank Wall Street reform law, but was only approved six years later this summer. It requires companies such as Exxon Mobil Corp to state publicly how much they pay governments in taxes and other fees. Opponents say it hurts U.S. energy companies, while human rights groups argue it reduces corruption. [nL1N1FK0Z1]"
Exxon,2017-1,"Meanwhile, the gun rule requires extra scrutiny of purchasers who receive Social Security benefits and also have a history of mental illness."
Exxon,2017-1,"Liberal groups are outraged by the rollbacks, but their traditional allies, Democratic lawmakers, have limited means to stop them in the Republican-dominated Congress."
Exxon,2017-1,"Those on the Rules Committee said important protections were being rushed to the chopping block and pleaded for hearings on the regulations, to no avail."
Exxon,2017-1,"This week House Democrats and activists are planning to rally the public, hoping to persuade Republicans to vote no. Senate Democrats cannot filibuster the measures but congressional aides expect them to slow the process by taking the full five hours they are allowed to speak against each measure on the chamber's floor."
Exxon,2017-1,"{{20170130T234651.701+0000}}UPDATE 1-U.S. Senate advances nomination of Tillerson as Secretary of State(Adds final vote count, details, background)"
Exxon,2017-1,"WASHINGTON, Jan 30 (Reuters) - The U.S. Senate advanced the nomination of former Exxon Mobil Corp Chief Executive Rex Tillerson on Monday to be President Donald Trump's secretary of state, moving closer to filling a key seat on the Republican's national security team despite partisan rancor over Trump's immigration order."
Exxon,2017-1,"The vote was 56 to 43 to move toward a final confirmation vote after up to 30 hours' debate, putting a final vote very early on Wednesday, if senators do not agree to change the time."
Exxon,2017-1,The vote broke largely along party lines. Every Republican favored advancing the nomination and all but four members of the Democratic caucus voted against it.
Exxon,2017-1,"The Senate's Democratic leader, Chuck Schumer, and several other members of the party tried, but failed, to delay considering Tillerson because of Trump's executive order banning immigration from seven mostly Muslim countries and temporarily halting the entry of refugees. [nL1N1FK0WQ]"
Exxon,2017-1,"They said they wanted to question Tillerson more closely on his views on Muslim immigration. During his confirmation hearing, the former oil executive said he did not support a ""blanket-type rejection"" of any group of people."
Exxon,2017-1,"Trump and his supporters, including many Republicans, said his order is necessary to keep Americans safe and is not intended to ban Muslims, despite addressing only Muslim-majority nations whose citizens have not been involved in attacks on the United States."
Exxon,2017-1,They said it was important to fill important slots on Trump's national security team quickly.
Exxon,2017-1,"""As we proceed in ensuring the new administration has the leaders it needs to implement our nation's foreign policy going forward, I have great confidence Rex Tillerson will serve the United States well,"" Senator Bob Corker, the Republican chairman of the Senate Foreign Relations Committee, said."
Exxon,2017-1,{{20170130T234521.781+0000}}RPT-UPDATE 2-U.S. lawmakers move to scrap SEC's 'resource extraction' rule(Repeats to widen distribution; no change to headline or text)
Exxon,2017-1,"WASHINGTON, Jan 30 (Reuters) - Two senior U.S. lawmakers unveiled legislative plans on Monday to scrap a rule devised under the 2010 Dodd-Frank financial reform law requiring publicly-traded mining, oil and gas companies to disclose payments they make to foreign governments."
Exxon,2017-1,"Michigan Republican Bill Huizenga, who chairs the House of Representatives Financial Services subcommittee on capital markets, and Oklahoma Republican James Inhofe, chairman of the Senate Environment Committee, took aim at the U.S. Securities and Exchange Commission's so-called ""resource extraction"" rule, saying it makes it harder for U.S. energy companies to compete."
Exxon,2017-1,"They introduced measures to ax the rule using the Congressional Review Act, which allows Congress to stop recently adopted regulations through a simple majority vote. Republicans this week are expected to undo five Obama-era regulations. The full Republican-led House on Wednesday will vote to kill all the regulations and then send them to the Senate, also controlled by Republicans. [nL1N1FK1KL]"
Exxon,2017-1,The SEC rule is championed by human rights organizations who say disclosure of payments to foreign governments by companies like Exxon Mobil Corp and Chevron helps fight corruption.
Exxon,2017-1,"""There is absolutely no benefit to nullifying this common sense law unless your objective is to make it easier for corrupt elites to steal money,"" said Isabel Munilla who studies extraction policies for anti-poverty group Oxfam."
Exxon,2017-1,"But the U.S. Chamber of Commerce and other industry groups have long opposed it, saying it hurts U.S. companies without providing investors with meaningful, material information."
Exxon,2017-1,"Industry groups successfully beat back the rule a few years ago and the SEC was forced to go back to the drawing board. Then, Oxfam accused the regulator of dragging its feet on a new draft."
Exxon,2017-1,"A federal judge ordered the SEC to fast-track the rule in 2015, and the agency issued a final version last summer set to take effect in 2018."
Exxon,2017-1,"""The SEC continues to propose a resource extraction rule that is overly burdensome, puts U.S. companies at a competitive disadvantage, and fails to provide investors with useful information,"" Huizenga said."
Exxon,2017-1,"The House Financial Services Committee's senior Democrat, Maxine Waters, said killing the rule ""is undoubtedly another conflict of interest on account of Trump and his cronies."""
Exxon,2017-1,"President Donald Trump's Secretary of State nominee Rex Tillerson headed Exxon when it fought the drafting of the rule, Waters said. She added the regulation would identify oil companies with financial ties to countries that have been hostile to the United States, such as Russia."
Exxon,2017-1,"{{20170131T120319.257+0000}}BRIEF-Exxon reports emissions at Baytown, Texas refinery on Jan. 28Jan 31 (Reuters) - Exxon Mobil Corp :"
Exxon,2017-1,"* Exxon Baytown, Texas plant reports a release of benzene into the atmosphere from a refinery due to an introduction of waste water into the treatment plant on Jan. 28; waste water contained benzene"
Exxon,2017-1,"* Exxon Baytown, Texas plant reports a release of hydrogen sulfide onto the ground from a faulty d-12/d-20 line on the cleus light end unit on Jan. 28"
Exxon,2017-1,"* Exxon Baytown, Texas plant reports a release of benzene and 1,3 butadiene due to unknown causes on Jan. 28; no injuries or evacuations were reported at the time."
Exxon,2017-1,"Refinery capacity: 560,500 barrels per day Source: National Response Center filing (made public on Tuesday)"
Exxon,2017-1,"{{20170131T115505.889+0000}}BRIEF-Exxon reports emissions at Baton Rouge, Louisiana plant on Jan. 27Jan 31 (Reuters) - Exxon Mobil Corp :"
Exxon,2017-1,"* Exxon Baton Rouge, Louisiana plant reports a release of butadiene to the air from an unknown source near a waste water plant due to unknown causes on Jan. 27"
Exxon,2017-1,"Refinery capacity: 502,500 barrels-per-day Source: National Response Center filing (made public on Tuesday)"
Exxon,2017-1,"{{20170131T110002.361+0000}}RPT-INSIGHT-How Toyota, Target, Best Buy are fighting back against Republican border tax push(Repeats to widen distribution)"
Exxon,2017-1,"WASHINGTON, Jan 31 (Reuters) - Days before a group of Republican lawmakers were due to discuss their party's controversial proposal to tax all imports, Toyota Motor Corp <7203.T> sent an urgent message to its U.S. dealers - tell the politicians the tax would seriously hurt car buyers."
Exxon,2017-1,"Some of Toyota's 1,500 dealers heeded the call and contacted members of the House of Representatives' tax-writing Ways and Means Committee, urging them to rethink their proposal, according to people familiar with the effort. Imposing a 20 percent tax on imports would force consumers to pay potentially thousands of dollars more for vehicles, they warned."
Exxon,2017-1,The Japanese automaker's mobilization of its army of dealers underscores the growing alarm among some of the world's largest companies that sell imported goods in the United States. They fear a big tax on imports would hurt their sales and profits and put them at a disadvantage to rivals more reliant on U.S.-made products.
Exxon,2017-1,"""Cost is going to go up, as a result demand is going to go down. As a result, we're not going to able to employ as many as people as we do today. That's my biggest fear,"" Toyota's North America CEO Jim Lentz said in an interview."
Exxon,2017-1,"Toyota dealers employ more than 97,000 people in the United States."
Exxon,2017-1,"While companies and industry groups frequently lobby Congress, the threat of an import tax has mobilized an unusually broad swath of firms at home and abroad. That lobbying effort is taking place largely out of the public eye partly to avoid potential conflict with President Donald Trump, who has attacked companies for manufacturing abroad for U.S. consumers."
Exxon,2017-1,"Earlier this month Trump targeted Toyota, threatening to impose a hefty fee on the world's largest automaker if it builds its Corolla cars for the U.S. market at a plant in Mexico."
Exxon,2017-1,"The White House said last week that a border tax is one option under review to pay for a wall with Mexico, although what exactly Trump is planning to do is still not clear. He has pledged to impose a ""big border tax"" on Mexican imports."
Exxon,2017-1,"The plan proposed by House Republicans would cut corporate income tax to 20 percent from 35 percent, exclude export revenue from taxable income and impose the 20 percent tax on imports."
Exxon,2017-1,Companies that rely heavily on imports say a border tax will outweigh the benefit of a lower headline corporate tax.
Exxon,2017-1,"As car dealers are reaching out to members of Congress in their districts, Toyota and other automakers are lobbying lawmakers in states where they have large manufacturing plants and employ thousands of workers."
Exxon,2017-1,"The No. 3 vehicle seller in the United States behind General Motors Co and Ford Motor Co , Toyota imports about 1.2 million vehicles to the U.S. market annually, half of its 2.4 million U.S. sales. It employs 40,000 people directly."
Exxon,2017-1,Toyota and the automakers are not alone in this lobbying effort.
Exxon,2017-1,"Target Corp's chief executive, Brian Cornell, traveled to Washington to meet members of the House Ways and Means Committee. He told them an import tax could impact consumers' ability to buy essential goods, such as baby supplies that are made overseas and imported to the United States, according to a person familiar with the talks. Target spokeswoman Dustee Jenkins confirmed the visit."
Exxon,2017-1,"The largest U.S. electronics retailer, Best Buy , headquartered down the road from Minneapolis-based Target, has circulated a flyer to lawmakers. It cites an analyst forecast that a 20 percent tax would wipe out the company's projected annual net income of $1 billion and turn it into a $2 billion loss."
Exxon,2017-1,"The flyer, a copy of which was seen by Reuters, argues that foreign Internet sellers like China's Alibaba.com would be able to avoid the tax by making sales online and shipping to U.S. consumers directly, ""undercutting U.S. businesses."""
Exxon,2017-1,"Company officials have been handing out the flyer to lawmakers and their staff on Capitol Hill, Best Buy spokesman Jeff Shelman confirmed."
Exxon,2017-1,"Constellation Brands , which brews Corona and Modelo in Mexico, has been pushing lawmakers to exempt products like Mexican beer in any border tax ""because it's inherently a Mexican product,"" CEO Rob Sands said on an earnings call."
Exxon,2017-1,"But if that effort fails, Constellation is prepared to buy more raw materials from the United States instead of Mexico, Sands said."
Exxon,2017-1,"Koch Industries [KCHIN.UL], the second-largest private U.S. company according to Forbes, said in a statement a border tax would have a ""devastating"" impact on consumers. The company, owned by Republican donors Charles and David Koch, includes oil refining and manufacturing interests."
Exxon,2017-1,"Tim Phillips, the president of Americans for Prosperity, a conservative political group founded by the billionaire brothers, told Reuters the powerful group has started to educate its network of activists about the tax, so they can lobby against it. AFP says it has two million activists."
Exxon,2017-1,Not everyone in corporate America is worried about a new border tax.
Exxon,2017-1,"Several aerospace companies including Boeing Co , United Technologies Corp and Raytheon Co said in earnings calls last week that a border tax could be positive for net exporters like them."
Exxon,2017-1,"""We see the aerospace sector as fundamentally having an advantage in that regard,"" Boeing CEO Dennis Muilenburg said."
Exxon,2017-1,"The American International Automobile Dealers Association (AIADA), however, called the proposal ""heart stopping,"" in a letter last week to 9,500 dealers selling vehicles like Toyota, Volkswagen , and BMW ."
Exxon,2017-1,Opponents of the border tax may have already found some allies.
Exxon,2017-1,"Republican Representative Trey Gowdy of South Carolina, where BMW has a large plant, said the importance of foreign automakers such as BMW and Toyota to the economy needs to be considered when making laws."
Exxon,2017-1,"""I cannot overstate how significant that industry is to my state,"" Gowdy said in an interview, adding that he and his wife both drive Toyotas."
Exxon,2017-1,"{{20170131T094409.303+0000}}CPC pipeline plans 72-hour stoppages in April and SeptemberMOSCOW, Jan 31 (Reuters) - The Caspian Pipeline Consortium (CPC) has scheduled two 72-hour planned stoppages on its pipeline in April and September this year, its chief Nikolay Gorban told reporters on Tuesday."
Exxon,2017-1,"{{20170131T094140.259+0000}}CPC pipeline plans 72-hour stoppages in April and SeptemberMOSCOW, Jan 31 (Reuters) - The Caspian Pipeline Consortium (CPC) has scheduled two 72-hour planned stoppages on its pipeline in April and September this year, its chief Nikolay Gorban told reporters on Tuesday."
Exxon,2017-1,"{{20170131T085212.233+0000}}CPC pipeline to ship 10.4 mln t of oil from Kashagan in 2017MOSCOW, Jan 31 (Reuters) - The Caspian Pipeline Consortium (CPC) plans to ship 10.4 million tonnes of oil from Kazakhstan's Kashagan offshore Caspian field this year, CPC said in a statement on Tuesday."
Exxon,2017-1,CPC said it planned to transport another 5.4 million tonnes of oil from the Filanovsky and Korchagin Caspian offshore fields operated by Russia's Lukoil .
Exxon,2017-1,"In October, CPC said it intended to ship up to 12 million tonnes of oil from the Kashagan field this year."
Exxon,2017-1,"CPC said on Tuesday it planned to ship a total of 65.7 million tonnes of oil in 2017, of which Kazakh fields would account for 54.7 million tonnes."
Exxon,2017-1,"{{20170131T060003.274+0000}}INSIGHT-How Toyota, Target, Best Buy are fighting back against Republican border tax pushBy Ginger Gibson and David Shepardson"
Exxon,2017-1,"WASHINGTON, Jan 31 (Reuters) - Days before a group of Republican lawmakers were due to discuss their party's controversial proposal to tax all imports, Toyota Motor Corp <7203.T> sent an urgent message to its U.S. dealers - tell the politicians the tax would seriously hurt car buyers."
Exxon,2017-1,"Some of Toyota's 1,500 dealers heeded the call and contacted members of the House of Representatives' tax-writing Ways and Means Committee, urging them to rethink their proposal, according to people familiar with the effort. Imposing a 20 percent tax on imports would force consumers to pay potentially thousands of dollars more for vehicles, they warned."
Exxon,2017-1,The Japanese automaker's mobilization of its army of dealers underscores the growing alarm among some of the world's largest companies that sell imported goods in the United States. They fear a big tax on imports would hurt their sales and profits and put them at a disadvantage to rivals more reliant on U.S.-made products.
Exxon,2017-1,"""Cost is going to go up, as a result demand is going to go down. As a result, we're not going to able to employ as many as people as we do today. That's my biggest fear,"" Toyota's North America CEO Jim Lentz said in an interview."
Exxon,2017-1,"Toyota dealers employ more than 97,000 people in the United States."
Exxon,2017-1,"While companies and industry groups frequently lobby Congress, the threat of an import tax has mobilized an unusually broad swath of firms at home and abroad. That lobbying effort is taking place largely out of the public eye partly to avoid potential conflict with President Donald Trump, who has attacked companies for manufacturing abroad for U.S. consumers."
Exxon,2017-1,"Earlier this month Trump targeted Toyota, threatening to impose a hefty fee on the world's largest automaker if it builds its Corolla cars for the U.S. market at a plant in Mexico."
Exxon,2017-1,"The White House said last week that a border tax is one option under review to pay for a wall with Mexico, although what exactly Trump is planning to do is still not clear. He has pledged to impose a ""big border tax"" on Mexican imports."
Exxon,2017-1,"The plan proposed by House Republicans would cut corporate income tax to 20 percent from 35 percent, exclude export revenue from taxable income and impose the 20 percent tax on imports."
Exxon,2017-1,Companies that rely heavily on imports say a border tax will outweigh the benefit of a lower headline corporate tax.
Exxon,2017-1,"As car dealers are reaching out to members of Congress in their districts, Toyota and other automakers are lobbying lawmakers in states where they have large manufacturing plants and employ thousands of workers."
Exxon,2017-1,"The No. 3 vehicle seller in the United States behind General Motors Co and Ford Motor Co , Toyota imports about 1.2 million vehicles to the U.S. market annually, half of its 2.4 million U.S. sales. It employs 40,000 people directly."
Exxon,2017-1,Toyota and the automakers are not alone in this lobbying effort.
